id,permalink,title,genres,song_id
10,meena,Meena,pop,10
11,sapne-re,Sapne Re,pop,16
12,kalank(title-track),Kalank(Title Track),"Romantic,Melody",17
13,aa-bhi-jaa,Aa Bhi Jaa,"Romantic, Melody",18
14,udta-punjab,Udta Punjab,"Party,Rock",19
15,dillagi,Dillagi,"Romantic,Ghajal",20
16,sultan(title),Sultan(Title),"Party,Classical",21
17,mujhko-barshaat-banado,Mujhko Barshaat Banado,"Romantic,Rock",22
18,jumme-ki-raat-hai,Jumme Ki Raat Hai,"Popular,Music",23
19,le-chala,Le Chala,"Romantic,Melody",24
20,sarbjit-(title),Sarbjit (Title),"Sad, Romantic",25
21,apki-nazron-ne-samja-reprise,Apki Nazron Ne Samja Reprise,"Romantic,Party",26
22,badtameez,Badtameez,Rock,27
23,crazy-dil,Crazy Dil,"Party,Rock",28
24,dard,Dard,"Sad,Romantic",29
25,kar-gayi-chul,Kar Gayi Chul,Party,30
26,bol-do-na-zara,Bol Do Na Zara,"Romantic,Party",31
27,tum-hi-ho,Tum Hi Ho,"Romantic,Melod",32
28,tum-mile,Tum Mile,"Romantic, Party",34
29,bolna,Bolna,Romantic,35
30,rehnuma,Rehnuma,"Romantic,Melody",36
31,tere-dar-sanam,Tere Dar Sanam,Popular Music,37
32,ashiq-banaya-apne,Ashiq Banaya Apne,Popular Music,38
33,uska-hi-bana,Uska Hi Bana,Blues,39
34,jabra-fan,Jabra Fan,Popular Music,40
35,jab-tak-hai-jaan,Jab Tak Hai Jaan,Blues,41
36,moh-moh-ke-dhaage,Moh Moh Ke Dhaage,Bhajan,42
37,are-kalia,Are Kalia,Bhajan,43
38,prabhu-tuma-karunara,Prabhu Tuma Karunara,Bhajan,44
39,kalia-re-dhanya-tor-hati-besha,Kalia re Dhanya Tor Hati Besha,Bhajan,45
40,katra-katra,Katra Katra,Rock,46
41,malhari,Malhari,Party,47
42,deewani-mastani,Deewani Mastani,"Sad, Romantic",48
43,soch-na-sake,Soch na Sake,"Romantic,Melody",49
44,international-love,International Love,pop,50
45,hey-baby,Hey Baby,HIP HOP,51
46,baby,Baby,"Romantic, Party",52
47,bezubaan-phir-se,Bezubaan Phir Se,HIP HOP,53
48,tu-chahiye,Tu Chahiye,"Romantic, Party",54
49,barfi-(-title),Barfi ( Title),Party,55
50,beautiful-akon,Beautiful Akon,HIP HOP,56
51,turn-the-night-up,Turn The Night Up,pop,57
52,be-with-you,Be With You,pop,58
53,right-na-na-na,Right Na Na Na,Popular Music,59
54,zinda,Zinda,Heavy Metal,60
55,i'm-so-paid,I'M So paid,Rap,61
56,o-khuda,O Khuda,"Romantic,Melody",62
57,hero,Hero,pop,63
58,jee-karda,Jee Karda,Heavy Metal,64
59,jeena-jeena,Jeena Jeena,"Romantic, Rock",65
60,raanjhana(title),Raanjhana(Title),"Romantic, Party",66
61,soniye,Soniye,"Romantic,Melody,pop",67
62,chamak-challo,Chamak Challo,"HIP HOP, Country Song",68
63,criminal,Criminal,"HIP HOP, Country Song,pop",69
